country_iso3,indicator,year,value
ARG,NY.GDP.MKTP.CD,2024,633266692533689
ARG,NY.GDP.MKTP.CD,2023,646075277525125
ARG,NY.GDP.MKTP.CD,2022,632790070063124
ARG,NY.GDP.MKTP.CD,2021,486564085480036
ARG,NY.GDP.MKTP.CD,2020,385740508436965
ARG,NY.GDP.MKTP.CD,2019,447754683615225
ARG,NY.GDP.MKTP.CD,2018,524819892360176
ARG,NY.GDP.MKTP.CD,2017,643628393281364
ARG,NY.GDP.MKTP.CD,2016,557532320662955
ARG,NY.GDP.MKTP.CD,2015,594749285413212
ARG,NY.GDP.MKTP.CD,2014,526319673731638
ARG,NY.GDP.MKTP.CD,2013,552025140252246
ARG,NY.GDP.MKTP.CD,2012,545982375701128
ARG,NY.GDP.MKTP.CD,2011,530158122010442
ARG,NY.GDP.MKTP.CD,2010,423627422092.49
ARG,NY.GDP.MKTP.CD,2009,332976484577619
ARG,NY.GDP.MKTP.CD,2008,361558037110419
ARG,NY.GDP.MKTP.CD,2007,287530508430568
ARG,NY.GDP.MKTP.CD,2006,232557260817308
ARG,NY.GDP.MKTP.CD,2005,198737095012282
ARG,NY.GDP.MKTP.CD,2004,164657930452787
ARG,NY.GDP.MKTP.CD,2003,127586973492177
ARG,NY.GDP.MKTP.CD,2002,97724004251.8602
ARG,NY.GDP.MKTP.CD,2001,268696750000.0
ARG,NY.GDP.MKTP.CD,2000,284203750000.0
BOL,NY.GDP.MKTP.CD,2024,49668296743.8495
BOL,NY.GDP.MKTP.CD,2023,45135398002.8944
BOL,NY.GDP.MKTP.CD,2022,44008282879.8842
BOL,NY.GDP.MKTP.CD,2021,40406111693.1983
BOL,NY.GDP.MKTP.CD,2020,36629843806.0781
BOL,NY.GDP.MKTP.CD,2019,40895322850.9407
BOL,NY.GDP.MKTP.CD,2018,40287647930.5355
BOL,NY.GDP.MKTP.CD,2017,37508642170767
BOL,NY.GDP.MKTP.CD,2016,33941126193.9219
BOL,NY.GDP.MKTP.CD,2015,33000198248.9146
BOL,NY.GDP.MKTP.CD,2014,32996188017.3661
BOL,NY.GDP.MKTP.CD,2013,30659338885.6729
BOL,NY.GDP.MKTP.CD,2012,27084497481.9103
BOL,NY.GDP.MKTP.CD,2011,23963164696592
BOL,NY.GDP.MKTP.CD,2010,19649723722.1034
BOL,NY.GDP.MKTP.CD,2009,17339992193.7322
BOL,NY.GDP.MKTP.CD,2008,16674276285.8956
BOL,NY.GDP.MKTP.CD,2007,13120108008.3477
BOL,NY.GDP.MKTP.CD,2006,11451844902.2214
BOL,NY.GDP.MKTP.CD,2005,9549122905.32852
BOL,NY.GDP.MKTP.CD,2004,8773451751.5121
BOL,NY.GDP.MKTP.CD,2003,8082399639.54305
BOL,NY.GDP.MKTP.CD,2002,7905485146.44351
BOL,NY.GDP.MKTP.CD,2001,8141516928.39489
BOL,NY.GDP.MKTP.CD,2000,8397855484.76908
BRA,NY.GDP.MKTP.CD,2024,2179412080828.59
BRA,NY.GDP.MKTP.CD,2023,2191131765684.63
BRA,NY.GDP.MKTP.CD,2022,1951923942083.32
BRA,NY.GDP.MKTP.CD,2021,1670647398904.9
BRA,NY.GDP.MKTP.CD,2020,1476107231310.49
BRA,NY.GDP.MKTP.CD,2019,1873288205059.69
BRA,NY.GDP.MKTP.CD,2018,1916933898010.99
BRA,NY.GDP.MKTP.CD,2017,2063514977365.65
BRA,NY.GDP.MKTP.CD,2016,1795693482853.01
BRA,NY.GDP.MKTP.CD,2015,1802212206814.5
BRA,NY.GDP.MKTP.CD,2014,2456043727198.85
BRA,NY.GDP.MKTP.CD,2013,2472819535557.21
BRA,NY.GDP.MKTP.CD,2012,2465227802806.76
BRA,NY.GDP.MKTP.CD,2011,2616156223917.69
BRA,NY.GDP.MKTP.CD,2010,2208837745100.55
BRA,NY.GDP.MKTP.CD,2009,1666996438581.43
BRA,NY.GDP.MKTP.CD,2008,1695855083497.52
BRA,NY.GDP.MKTP.CD,2007,1397114486368.67
BRA,NY.GDP.MKTP.CD,2006,1107626541434.92
BRA,NY.GDP.MKTP.CD,2005,891633839894183
BRA,NY.GDP.MKTP.CD,2004,669289424806307
BRA,NY.GDP.MKTP.CD,2003,558233745651874
BRA,NY.GDP.MKTP.CD,2002,509795273806715
BRA,NY.GDP.MKTP.CD,2001,559983634798981
BRA,NY.GDP.MKTP.CD,2000,655448231983527
CHL,NY.GDP.MKTP.CD,2024,330267137371592
CHL,NY.GDP.MKTP.CD,2023,335518054097637
CHL,NY.GDP.MKTP.CD,2022,301226575540242
CHL,NY.GDP.MKTP.CD,2021,315325547162072
CHL,NY.GDP.MKTP.CD,2020,254042159309311
CHL,NY.GDP.MKTP.CD,2019,278285058719466
CHL,NY.GDP.MKTP.CD,2018,295857562991709
CHL,NY.GDP.MKTP.CD,2017,276154259981097
CHL,NY.GDP.MKTP.CD,2016,249344863928438
CHL,NY.GDP.MKTP.CD,2015,242450355830884
CHL,NY.GDP.MKTP.CD,2014,259560978224359
CHL,NY.GDP.MKTP.CD,2013,277395018842417
CHL,NY.GDP.MKTP.CD,2012,267024782486855
CHL,NY.GDP.MKTP.CD,2011,251382573893.87
CHL,NY.GDP.MKTP.CD,2010,217051209238534
CHL,NY.GDP.MKTP.CD,2009,171777900623892
CHL,NY.GDP.MKTP.CD,2008,179894594475405
CHL,NY.GDP.MKTP.CD,2007,172491076033863
CHL,NY.GDP.MKTP.CD,2006,153843518170864
CHL,NY.GDP.MKTP.CD,2005,122294145163192
CHL,NY.GDP.MKTP.CD,2004,99075985773.6682
CHL,NY.GDP.MKTP.CD,2003,76492579644.0605
CHL,NY.GDP.MKTP.CD,2002,70264045939.2773
CHL,NY.GDP.MKTP.CD,2001,71574739561.4329
CHL,NY.GDP.MKTP.CD,2000,78339750721364
PRY,NY.GDP.MKTP.CD,2024,44458118399.6669
PRY,NY.GDP.MKTP.CD,2023,43118053174.5413
PRY,NY.GDP.MKTP.CD,2022,41952910858088
PRY,NY.GDP.MKTP.CD,2021,39950899938.7482
PRY,NY.GDP.MKTP.CD,2020,35432178068.1814
PRY,NY.GDP.MKTP.CD,2019,37925338329.1494
PRY,NY.GDP.MKTP.CD,2018,40225448340.6322
PRY,NY.GDP.MKTP.CD,2017,38997129473.5558
PRY,NY.GDP.MKTP.CD,2016,36089700222.9461
PRY,NY.GDP.MKTP.CD,2015,36211447840.0971
PRY,NY.GDP.MKTP.CD,2014,40377929295.6419
PRY,NY.GDP.MKTP.CD,2013,38501122141.4241
PRY,NY.GDP.MKTP.CD,2012,33271921136315
PRY,NY.GDP.MKTP.CD,2011,33756238766.5
PRY,NY.GDP.MKTP.CD,2010,27260886405.2263
PRY,NY.GDP.MKTP.CD,2009,22355151161994
PRY,NY.GDP.MKTP.CD,2008,24615267663.5456
PRY,NY.GDP.MKTP.CD,2007,17856393235.4338
PRY,NY.GDP.MKTP.CD,2006,13429430050261
PRY,NY.GDP.MKTP.CD,2005,10737500188.1123
PRY,NY.GDP.MKTP.CD,2004,9624440836.29309
PRY,NY.GDP.MKTP.CD,2003,7691367471.17992
PRY,NY.GDP.MKTP.CD,2002,7196260656.84556
PRY,NY.GDP.MKTP.CD,2001,8495806432.18467
PRY,NY.GDP.MKTP.CD,2000,8855705139.55857
URY,NY.GDP.MKTP.CD,2024,80961511073.5797
URY,NY.GDP.MKTP.CD,2023,77991666837.7382
URY,NY.GDP.MKTP.CD,2022,70594110920.0358
URY,NY.GDP.MKTP.CD,2021,60739084240.8633
URY,NY.GDP.MKTP.CD,2020,53559359261826
URY,NY.GDP.MKTP.CD,2019,62222313618.8454
URY,NY.GDP.MKTP.CD,2018,65344577415.7535
URY,NY.GDP.MKTP.CD,2017,65005997963.4822
URY,NY.GDP.MKTP.CD,2016,57480787465.2716
URY,NY.GDP.MKTP.CD,2015,57680327998.6689
URY,NY.GDP.MKTP.CD,2014,61496186973902
URY,NY.GDP.MKTP.CD,2013,61337621933.7857
URY,NY.GDP.MKTP.CD,2012,54232266358.7811
URY,NY.GDP.MKTP.CD,2011,50342406067.0777
URY,NY.GDP.MKTP.CD,2010,41950361211.9581
URY,NY.GDP.MKTP.CD,2009,32708319077.5179
URY,NY.GDP.MKTP.CD,2008,31119602538.8322
URY,NY.GDP.MKTP.CD,2007,23797773024.3992
URY,NY.GDP.MKTP.CD,2006,19741420739.8901
URY,NY.GDP.MKTP.CD,2005,17362857683.8545
URY,NY.GDP.MKTP.CD,2004,13686329890.1191
URY,NY.GDP.MKTP.CD,2003,12045638351.8507
URY,NY.GDP.MKTP.CD,2002,13606515722.5864
URY,NY.GDP.MKTP.CD,2001,20898761742.2386
URY,NY.GDP.MKTP.CD,2000,22823270892.1094
ARG,NY.GDP.PCAP.CD,2024,13858.2039802008
ARG,NY.GDP.PCAP.CD,2023,14187.4827252965
ARG,NY.GDP.PCAP.CD,2022,13935.6811110049
