country_iso3,indicator,num_points
,6.0.GDP_current,90
,6.0.GDP_growth,90
,6.0.GDP_usd,90
,6.0.Conspc,75
,6.0.GDPpc_constant,75
,6.0.GNIpc,75
,9.0.Labor.B40,70
,9.0.Labor.T60,70
,9.1.Labor.B40,70
,9.1.Labor.T60,70
,9.2.Labor.B40,70
,9.2.Labor.T60,70
,5.0.AMeanIncGr.All,6
,5.0.AMeanIncGr.B40,6
,5.1.AMeanIncGr.All,6
,5.1.AMeanIncGr.B40,6
,5.2.AMeanIncGr.All,6
,5.2.AMeanIncGr.B40,6
ARG,BG.GSR.NFSV.GD.ZS,25
ARG,BM.GSR.CMCP.ZS,25
ARG,BM.GSR.FCTY.CD,25
ARG,BM.GSR.GNFS.CD,25
ARG,BM.GSR.INSF.ZS,25
ARG,BM.GSR.MRCH.CD,25
ARG,BM.GSR.NFSV.CD,25
ARG,BM.GSR.ROYL.CD,25
ARG,BM.GSR.TOTL.CD,25
ARG,BM.GSR.TRAN.ZS,25
ARG,BM.GSR.TRVL.ZS,25
ARG,BM.KLT.DINV.CD.WD,25
ARG,BM.KLT.DINV.WD.GD.ZS,25
ARG,BM.TRF.PRVT.CD,25
ARG,BM.TRF.PWKR.CD.DT,25
ARG,BN.CAB.XOKA.CD,25
ARG,BN.CAB.XOKA.GD.ZS,25
ARG,BN.FIN.TOTL.CD,25
ARG,BN.GSR.FCTY.CD,25
ARG,BN.GSR.GNFS.CD,25
ARG,BN.GSR.MRCH.CD,25
ARG,BN.KAC.EOMS.CD,25
ARG,BN.KLT.DINV.CD,25
ARG,BN.KLT.PTXL.CD,25
ARG,BN.RES.INCL.CD,25
ARG,BN.TRF.CURR.CD,25
ARG,BN.TRF.KOGT.CD,25
ARG,BX.GSR.CCIS.CD,25
ARG,BX.GSR.CCIS.ZS,25
ARG,BX.GSR.CMCP.ZS,25
ARG,BX.GSR.FCTY.CD,25
ARG,BX.GSR.GNFS.CD,25
ARG,BX.GSR.INSF.ZS,25
ARG,BX.GSR.MRCH.CD,25
ARG,BX.GSR.NFSV.CD,25
ARG,BX.GSR.ROYL.CD,25
ARG,BX.GSR.TOTL.CD,25
ARG,BX.GSR.TRAN.ZS,25
ARG,BX.GSR.TRVL.ZS,25
ARG,BX.KLT.DINV.CD.WD,25
ARG,BX.KLT.DINV.WD.GD.ZS,25
ARG,BX.TRF.CURR.CD,25
ARG,BX.TRF.PWKR.CD,25
ARG,BX.TRF.PWKR.CD.DT,25
ARG,BX.TRF.PWKR.DT.GD.ZS,25
ARG,FI.RES.TOTL.CD,25
ARG,FI.RES.TOTL.MO,25
ARG,FI.RES.XGLD.CD,25
ARG,NE.CON.GOVT.CD,25
ARG,NE.CON.GOVT.CN,25
ARG,NE.CON.GOVT.KD,25
ARG,NE.CON.GOVT.KD.ZG,25
ARG,NE.CON.GOVT.KN,25
ARG,NE.CON.GOVT.ZS,25
ARG,NE.CON.PRVT.CD,25
ARG,NE.CON.PRVT.CN,25
